ma_san_pham,text,text_token,label
422202580,quan_sát kĩ rõ_rệt nám dần hẳn lỏng nhẹ nhẹ cực_kì thích thủy đầy_đủ tiết cộng trừ hị_hị yêu thâm_nám nhẹ hẳn,quan_sát kĩ_rõ_rệt nám dần hẳn lỏng nhẹ nhẹ cực_kì thích thủy đầy_đủ_tiết cộng_trừ hị_hị yêu thâm_nám nhẹ hẳn,2
422202580,bì_đẹp tông khó lọ tông hẳn kèm dễ dễ tốt,bì_đẹp tông khó lọ_tông hẳn kèm dễ dễ tốt,2
422204259,tốt tặng kèm chưng,tốt tặng kèm chưng,2
422209048,ẩm ghê,ẩm ghê,2
100160022,ẫm_serum dễ_tán cũ nửa_tông khô_bôi ẩm_không_bị căng,ẫm_serum dễ_tán cũ nửa_tông khô_bôi ẩm_không_bị căng,2
422208976,click không_có gửi khảo không_ạ,click không_có gửi khảo không_ạ,2
249500027,truóc ổn nồng_nặc,truóc ổn nồng_nặc,2
204900056,hợp mắc,hợp mắc,2
422208976,dễ nổi nên foaming không_chăm bác_sĩ khuyên,dễ nổi nên foaming không_chăm bác_sĩ khuyên,2
249500019,bình_dân dễ tán nhẹ tự_nhiên đáng,bình_dân dễ tán nhẹ tự_nhiên đáng,2
100230057,thích dịch,thích dịch,2
100230057,cực thích dịu nhẹ hợp mỏng nhẹ dày lì nhớ_tẩy kĩ,cực thích dịu nhẹ_hợp mỏng nhẹ dày lì_nhớ_tẩy kĩ,2
343700002,cân_nhắc chăm_sóc lâu_thấm mỏng cân_nhắc,cân_nhắc chăm_sóc lâu_thấm mỏng cân_nhắc,1
422204259,tốt không_có tặng tưởng không_,tốt không_có tặng tưởng không_,2
422208974,tiết_kiệm hợp_lý,tiết_kiệm hợp_lý,2
205100136,sạch,sạch,2
204900004,siêu_thích,siêu_thích,2
245500009,thơm nhẹ dịu nhẹ không_làm hợp_lý,thơm nhẹ dịu nhẹ không_làm hợp_lý,2
422206648,kích_ứng êm sạch không_khô,kích_ứng êm sạch không_khô,2
204100018,acne kỹ tiếc lỡ giải_quyết thâm chân_lông,acne kỹ tiếc_lỡ giải_quyết thâm_chân_lông,2
422212331,thích nên,thích nên,2
422205163,dễ giàng thoải_mái tột_độ,dễ giàng_thoải_mái tột_độ,2
201600019,thích lám mát cự_kỳ khô_thoáng nhẹ,thích lám mát cự_kỳ khô_thoáng nhẹ,2
422205164,cực_hợp tiếc chờ_đợi mãi chưa_mặt_nạ,cực_hợp tiếc_chờ_đợi mãi chưa_mặt_nạ,2
200500293,giảm thâm không_đổi,giảm thâm_không_đổi,2
422216603,đi_lại mãi hoài không_thôi,đi_lại mãi hoài không_thôi,2
200400003,tặng không_có tặng,tặng không_có tặng,2
318900002,thâm tốt cũ,thâm tốt cũ,1
422212097,siêu_cấp kích_ứng không_hề đẹp không_vân_không_dễ trôi trôi sạch không_đổ ưng kỹ,siêu_cấp kích_ứng không_hề đẹp không_vân_không_dễ trôi trôi sạch không_đổ ưng kỹ,2
422204910,dịu nhẹ lành_tính,dịu nhẹ lành_tính,2
422202629,tiết_bã rosacea_xài hầu_như thiên_khô ẩm kích_ứng nổi ngứa kết_hợp mỏng nhẹ bioderma ẩm kết_hợp dày hợp nằm máy_lạnh hợp thiên_dầu không_có kết_hợp chưa_đủ ngủ dưỡng,tiết_bã rosacea_xài hầu_như thiên_khô ẩm_kích_ứng nổi ngứa kết_hợp mỏng nhẹ bioderma ẩm_kết_hợp dày_hợp nằm máy_lạnh_hợp thiên_dầu không_có kết_hợp chưa_đủ ngủ dưỡng,2
204900013,tặng,tặng,2
422208975,hỗn_hợp căng suốt mụn_ẩn trộm_vía đẩy đáng,hỗn_hợp căng suốt mụn_ẩn trộm_vía đẩy đáng,2
327500002,thâm_hẳn đỡ hẳn,thâm_hẳn đỡ hẳn,2
308500015,nhẹ_nhàng thoải_mái tột_độ,nhẹ_nhàng thoải_mái tột_độ,2
204900056,sạch nhẹ_tênh mịn thơm cực thích,sạch nhẹ_tênh mịn thơm cực thích,2
422206537,mát ổn,mát ổn,2
100150059,mát dịu thích cho_viên nội_trợ,mát dịu thích cho_viên nội_trợ,2
422207414,tím sửa hồng_nhạt chịu mỏng nhẹ đổ,tím sửa hồng_nhạt chịu mỏng nhẹ đổ,2
422205809,đắp mê,đắp mê,2
422200305,mát nhẹ_mặt không_hợp,mát nhẹ_mặt không_hợp,1
422203301,ổn không_bị_sơ,ổn không_bị_sơ,2
100220037,giảm,giảm,2
100210020,đắt không_có thất_vọng,đắt không_có thất_vọng,0
206400009,lọ mịn kiếm mãi,lọ mịn kiếm mãi,2
204100019,chịu thành ổn,chịu thành ổn,2
204100078,treatment tretinoin ẩm dịu mà_còn dịu ưng xịt,treatment tretinoin ẩm_dịu mà_còn dịu ưng xịt,2
100230059,hiệu_quả nên,hiệu_quả nên,2
223600032,lỏng đổ,lỏng đổ,2
253900006,ổn không_nặng tông trừ gắt_không_hợp,ổn không_nặng tông_trừ gắt_không_hợp,2
422217292,đẹp tróc_đồ nhẹ,đẹp tróc_đồ nhẹ,2
422205160,chất_lượng,chất_lượng,2
223600010,tốt nhẹ,tốt nhẹ,2
204900159,sạch sâu khô_bênh cánh nguyên căng,sạch sâu khô_bênh cánh nguyên căng,1
422202253,đắp sưng giảm sạch nhờn,đắp sưng giảm sạch nhờn,2
422211446,tốt tự_nhiên rít khó_chịu dễ_tính chịu mát rẻ tốt,tốt tự_nhiên rít khó_chịu dễ_tính chịu mát rẻ tốt,2
318900012,tốt dịu nhẹ thích,tốt dịu nhẹ thích,2
308500013,đắp hiệu_quả miếng đắp đắp trông,đắp hiệu_quả miếng đắp đắp trông,2
357100004,dịu nhẹ tốt nhiên bơm dễ giăng,dịu nhẹ tốt_nhiên bơm dễ giăng,2
422200342,ngứa không_đủ đỡ tư_vấn tốt nhiệt_tình,ngứa không_đủ đỡ tư_vấn tốt nhiệt_tình,2
100220035,êm châm chích rát thích dậy mướt mọng giảm sạch chân_lông,êm_châm chích rát thích dậy mướt_mọng giảm sạch chân_lông,2
331300002,thích không_bị tiếp,thích không_bị tiếp,2
226200018,không_khác,không_khác,1
422211276,tốt mỏng,tốt mỏng,2
422209841,yên_tâm kiếm hộp không_có_mác phản_hồi không_ thất_vọng,yên_tâm kiếm hộp không_có_mác phản_hồi không_ thất_vọng,2
100180113,liễu dịu nhẹ hiệu_quả,liễu dịu nhẹ hiệu_quả,2
205100146,kỹ tặng giá_cả hợp_lý yên_tâm,kỹ tặng giá_cả hợp_lý yên_tâm,2
249500028,tặng kèm,tặng kèm,2
365000013,miếng dão khuôn_mặt ngọc_dùg thích,miếng dão khuôn_mặt ngọc_dùg thích,2
422205164,hợp,hợp,2
204100019,giá_thành rẻ,giá_thành rẻ,2
422211446,phẩm tốt túi_tiền hiệu_quả,phẩm tốt túi_tiền hiệu_quả,2
358300002,bình_thường kết_hợp uống hẳn,bình_thường kết_hợp uống hẳn,2
331300002,sạch tốt tẩy_kĩ cảm_nhận mỹ_phẩm đáng đồng_tiền,sạch tốt tẩy_kĩ cảm_nhận mỹ_phẩm đáng đồng_tiền,2
422218629,dịu nhẹ không_gây không_bị khô_kích_ứng đổi nổi,dịu nhẹ không_gây không_bị khô_kích_ứng đổi nổi,2
422206648,không_rửa_mặt,không_rửa_mặt,2
243300007,tệ_bụi gĩu,tệ_bụi gĩu,0
308500037,kém bền hỏng,kém bền hỏng,0
204900013,không_bị tán không_bị,không_bị tán không_bị,2
200400004,tặng không_tặng,tặng không_tặng,2
308100018,thích mát châm_chích dịu xẹp ưng xài_thích,thích mát_châm_chích dịu xẹp ưng xài_thích,2
226200017,hài_lòng,hài_lòng,2
422211446,cảm ổn nhẹ,cảm_ổn nhẹ,2
200400004,dịu nhẹ sạch bẩn,dịu nhẹ sạch bẩn,2
422201504,sạch cực_kỳ,sạch cực_kỳ,2
204900056,tốt dịu nhẹ mịn ẩm_không_hề,tốt dịu nhẹ mịn ẩm_không_hề,2
308500004,thơm nhẹ mượt,thơm nhẹ mượt,2
223600035,rẻ,rẻ,2
355500010,rát sạch không_thích rít không_ưng,rát sạch không_thích rít không_ưng,1
422205163,viêm ngủ,viêm ngủ,2
100230064,hỗn_hợp không_nhất_thiết,hỗn_hợp không_nhất_thiết,2
308500009,tuyệt,tuyệt,2
422211446,xám không_sạch sạch không_cồn trượt bù lành_tính sạch_sẽ cushion không_lên mụn_ẩn công_dụng toàn chấm,xám không_sạch sạch không_cồn trượt bù lành_tính sạch_sẽ cushion không_lên mụn_ẩn công_dụng toàn chấm,2
343100028,nhảy_cảm mừng chời,nhảy_cảm mừng chời,2
422204906,thành_phần không_ẻm dễ_chịu sạch nma tốt,thành_phần không_ẻm dễ_chịu sạch nma tốt,2
310100003,retinol zo không_hợp,retinol zo không_hợp,2
422211548,hồng khó_tán,hồng khó_tán,2
100750038,toàn nhẹ_nhàng dễ_chịu thích,toàn nhẹ_nhàng dễ_chịu thích,2
318900019,đặc không_nhờn thích,đặc không_nhờn thích,2
365000014,độc_không_mà đắp nóng_bừng,độc_không_mà đắp nóng_bừng,2
100150058,tạm ổn thích evene,tạm ổn thích evene,2
422217972,siêu_đỉnh,siêu_đỉnh,2
422207413,khó_chịu bết,khó_chịu bết,0
204900013,tặng kèm tuýp chất tốt ổn vón cũ cũ không_nên dặm phấn_phủ mặt_mũi,tặng kèm tuýp chất tốt ổn vón cũ cũ không_nên dặm phấn_phủ mặt_mũi,2
223600040,không_hợp khó cộng mịn,không_hợp khó cộng mịn,1
422203809,thích dày không_bị_rã,thích dày không_bị_rã,2
100230069,mềm không_bị_rã,mềm không_bị_rã,2
204100003,cực_hợp nhờn nổi tốt không_bật_tông,cực_hợp nhờn nổi tốt không_bật_tông,2
205100136,tốt không_tẩy lì,tốt không_tẩy lì,2
206200079,đẹp giống_hình,đẹp giống_hình,2
422203301,hợp_lý,hợp_lý,2
245500001,mịn nồng,mịn nồng,2
422211446,rẻ tặng không_nhỏ,rẻ tặng không_nhỏ,2
223600017,đổi hồng mềm_mịn,đổi hồng_mềm_mịn,2
253900007,mịn không_hăng nhẹ nhẹ rít cảm_nhận không_có chất,mịn không_hăng nhẹ nhẹ rít cảm_nhận không_có chất,2
205100137,nhẹ_dịu độ_ẩm căng_rít,nhẹ_dịu độ_ẩm căng_rít,2
422207148,tiếc chất_dư đắp tốt nội_tiết đắp dịu dịu,tiếc chất_dư đắp tốt nội_tiết đắp dịu dịu,2
204900004,sạch tốt tốt khô_tý,sạch tốt tốt khô_tý,2
200400003,í,í,2
422205635,dịu,dịu,2
422212871,đắp ổn ôm khít không_châm_chích,đắp ổn ôm khít không_châm_chích,2
422205162,thích cực mát xẹp hạn_chế tiết tốt,thích cực mát_xẹp hạn_chế_tiết tốt,2
211300005,kích_ứng,kích_ứng,2
253900006,đọc nhận_xét chê tùy hợp_không_thôi nhẹ tệp tệp hẳn mặc_dù thâm rỗ,đọc nhận_xét chê tùy hợp_không_thôi nhẹ tệp tệp hẳn mặc_dù thâm_rỗ,2
327500002,giảm chậm giảm thâm hầu_như không_cải_thiện,giảm chậm giảm thâm_hầu_như không_cải_thiện,2
318900005,mát ổn áp ngủ dậy nhờn_nhờn chứng_tỏ ổn,mát ổn_áp ngủ dậy nhờn_nhờn chứng_tỏ ổn,2
204100013,tốt hương_liệu thích căng mướt,tốt hương_liệu thích căng mướt,2
100150059,nặn ổn_áp mềm đáng,nặn ổn_áp mềm đáng,2
248700076,natrue tốt tư_vấn phết,natrue tốt tư_vấn phết,2
422207812,tốt thơm,tốt thơm,2
249500013,ổn không_bị kém,ổn không_bị kém,1
248700035,mỏng xịn,mỏng xịn,2
243300007,bịch_bịch tệ dập bét tùm rụng bịch không_nữa,bịch_bịch tệ dập bét tùm rụng bịch không_nữa,0
343100024,mẫn_cảm tặng tuyệt,mẫn_cảm tặng tuyệt,2
422206648,sạch sâu rít,sạch sâu rít,2
422200306,rẻ bọc,rẻ bọc,2
345800008,chất_lượng tốt gân uống không_khỏi some,chất_lượng tốt gân uống không_khỏi some,2
422216416,không_chê uoi mụn_xài,không_chê uoi mụn_xài,2
205100146,thíc,thíc,2
422220469,thơm dậy không_bị_dầu nặn rát_tí,thơm dậy không_bị_dầu nặn rát_tí,2
422209663,hỗn_hợp không_bết_rít ẩm tốt mềm tróc hợp hơi_chát,hỗn_hợp không_bết_rít ẩm tốt mềm tróc_hợp hơi_chát,2
422206043,tốt không_kích_ứng tốt chê,tốt không_kích_ứng tốt chê,2
249500013,dễ nổi mềm tông văn_phòng mà_còn,dễ nổi mềm_tông văn_phòng mà_còn,2
422209094,tốt đặc mịn treatment dịu hẳn ngủ dậy bù chất_lượng tốt ráng đeo,tốt đặc mịn treatment dịu hẳn ngủ dậy bù chất_lượng tốt ráng đeo,2
308500037,đắp đọc đừng đắp,đắp đọc đừng đắp,2
204900010,sạch không_bị căng giảm dầu_thừa,sạch không_bị căng giảm dầu_thừa,2
211300002,không_có chê hời túi_tiền rủng_rỉnh skincare siêu_dịu nhẹ lành_tính sợ kích_ứng tập_tành vô_tư hỗn_hợp dậy xài_không_chê lành_tính chú_trọng toàn thành kiên_trì hiệu_quả bình_dân không_muốn không_nồng nhẹ nhẹ thề thích cực lỏng thoáng nhận_xét tóm_lại á_lười chụp,không_có chê hời túi_tiền rủng_rỉnh skincare siêu_dịu nhẹ lành_tính sợ kích_ứng tập_tành vô_tư hỗn_hợp dậy xài_không_chê lành_tính chú_trọng toàn thành kiên_trì hiệu_quả bình_dân không_muốn không_nồng nhẹ nhẹ thề thích cực lỏng thoáng nhận_xét tóm_lại á_lười chụp,2
205100137,bàn_cãi rẻ nên,bàn_cãi rẻ nên,2
223600010,hù_hợp chân_ái,hù_hợp chân_ái,2
100230064,thích dịu nhẹ,thích dịu nhẹ,2
422205162,tạm chưa_hài_lòng,tạm chưa_hài_lòng,0
365000020,rẻ đẹp bền mịn căng cực,rẻ đẹp bền mịn căng cực,2
248700062,thích giải_cứu thích_hợp,thích giải_cứu thích_hợp,2
245500002,tạm ổn gét trông căng,tạm ổn gét trông căng,2
422211878,thâm_hơi rát vết_thương đáng,thâm_hơi rát vết_thương đáng,2
200400004,ứng_mặt,ứng_mặt,2
422211447,mịn hẳn sạch trị hiệu_quả lặn sạch thông_thoáng dễ đậm giảm,mịn hẳn sạch_trị hiệu_quả lặn sạch thông_thoáng dễ đậm giảm,2
204900056,dịu nhẹ tốt,dịu nhẹ tốt,2
223600034,không_hợp,không_hợp,2
205100146,nổi_bọt khó_chịu,nổi_bọt khó_chịu,2
249500007,mắc,mắc,2
422205163,siêu_đình không_có chê,siêu_đình không_có chê,2
217300001,dễ rách_điểm dày sạch,dễ rách_điểm dày sạch,1
371600006,không_kích_ứng mừng rít nhẹ,không_kích_ứng mừng_rít nhẹ,2
100230069,mềm_mại break skincare nhẹ_nhàng nhất_nhiên,mềm_mại break skincare nhẹ_nhàng nhất_nhiên,2
422208345,rít dễ tán tốt nhẹ chấm tán dần không_bị_mắt,rít dễ tán tốt nhẹ chấm_tán dần không_bị_mắt,2
422200002,chọn_lựa mắn phù_họp túi_tiền thích trộm_vía,chọn_lựa_mắn phù_họp túi_tiền thích trộm_vía,2
422207562,ổn không_như kỳ_vọng,ổn không_như kỳ_vọng,0
206400011,thơm bắt đẹp,thơm bắt đẹp,2
343100041,hỗn_hợp đen rõ_rệt hướng_dẫn rửa_mặt giảm nhờn,hỗn_hợp đen rõ_rệt hướng_dẫn rửa_mặt giảm nhờn,2
422209718,đắp mát dễ_chịu đắp thoải_mái láng,đắp mát dễ_chịu đắp thoải_mái láng,2
211300002,chóp đáng,chóp đáng,2
422203809,thô dưỡng_không_phê,thô dưỡng_không_phê,0
422202153,ổn,ổn,2
422211446,thích dễ_thương ghê,thích dễ_thương ghê,2
248700027,ghé tiện_dụng xịt bảo_vệ tối_ưu xịt trẻ,ghé tiện_dụng xịt bảo_vệ tối_ưu xịt trẻ,2
248700034,nhạy_cảm_dầu chấm không_hiêủ sần,nhạy_cảm_dầu chấm không_hiêủ sần,1
100160022,cực thích,cực thích,2
249500007,thích không_bị,thích không_bị,2
422203645,lắng đáo gói cẩn_thận ưng_ý ủng_hộ,lắng_đáo gói cẩn_thận ưng_ý ủng_hộ,2
308500004,ghê,ghê,2
204100003,vàng cũ tông thiên_dầu không_hề tí,vàng cũ tông thiên_dầu không_hề tí,1
207500001,tốt đáng,tốt đáng,2
422205164,không_làm thất_vọng,không_làm thất_vọng,1
365000017,chấp_nhận không_hài,chấp_nhận không_hài,0
327500002,ổn tốt,ổn tốt,0
422206513,không_tệ cân_nhắc kỹ,không_tệ cân_nhắc kỹ,0
204900056,phục_hồi nghiện corticoid tốt,phục_hồi nghiện corticoid tốt,2
422203301,không_bị_xơ thích,không_bị_xơ thích,2
204900013,vón không_tán,vón không_tán,0
318900002,tạm ổn đợi ngấm,tạm ổn đợi ngấm,2
422210784,dịu ổn,dịu ổn,2
422201092,căng rát,căng rát,2
422204795,dịu nhẹ sạch dễ_chịu,dịu nhẹ sạch dễ_chịu,2
422203901,ổn thô,ổn thô,2
318900012,đổ serum_dưỡng,đổ serum_dưỡng,2
100220010,sạch sâu_lỗ sạch đen,sạch sâu_lỗ sạch đen,2
308900002,trị nhẹ tệp khuyến_khích chấm,trị nhẹ tệp khuyến_khích chấm,2
248700035,naris không_trắng_bệt đẹp không_bị chứa giúp xịn,naris không_trắng_bệt đẹp không_bị chứa giúp xịn,2
422209724,khít đắp rít_mặt,khít đắp rít_mặt,2
422215804,lỏng mỏng chứa,lỏng mỏng chứa,2
100210014,mềm mịn,mềm mịn,2
422206537,giảm hẳn hợp dịu nhẹ không_hề,giảm hẳn hợp_dịu nhẹ không_hề,2
204100019,chất_lượng bàn_cãi sạch không_bị căng rát,chất_lượng bàn_cãi sạch không_bị căng rát,2
232500022,ổn kiên_trì kết_quả,ổn kiên_trì kết_quả,2
100210023,thẩm_thấu không_rõ_rệt âm_ẩm mỏng nhẹ rõ_rệt nên,thẩm_thấu không_rõ_rệt âm_ẩm mỏng nhẹ rõ_rệt nên,2
422208157,hợp dị_ứng ngứa,hợp dị_ứng ngứa,1
222600006,tốt lành_tính dễ_chịu làn bào_mòn đau rát trải mẩn nổi bể cà không_lấy nhân_mụn sưng vô_tình siêu_thị láng không_đau_rát thích,tốt lành_tính dễ_chịu làn bào_mòn đau rát trải mẩn nổi bể cà_không_lấy nhân_mụn sưng vô_tình siêu_thị láng không_đau_rát thích,2
422217292,chậm,chậm,0
223600009,rít một_chút hasakiâu,rít một_chút hasakiâu,2
422211183,rát không_có,rát không_có,2
422206043,cứng nổi cân_nhắc thơm,cứng nổi cân_nhắc thơm,2
422204259,tốt không_mùi nhẹ dịu,tốt không_mùi nhẹ dịu,2
422220606,thơm nhẹ kích_ứng không_nhưng ưng_ý,thơm nhẹ kích_ứng không_nhưng ưng_ý,2
100150059,không_trả,không_trả,0
204900056,đầy_đủ,đầy_đủ,2
223600010,set không_cần_dưỡng sạch ưng,set không_cần_dưỡng sạch ưng,2
422206648,dịu nhẹ tạm không_thích,dịu nhẹ tạm không_thích,2
204900056,dễ tốt,dễ tốt,2
422206648,dã luôn_ý siêu_rẻ tiếp,dã luôn_ý siêu_rẻ tiếp,2
422215804,tốt dễ dễ nhẹ hầu_như không_bị kém_xíu nắng_nóng đổ chảy nhẹ_góc trán ổn hợp không_bị mãi tốt,tốt dễ dễ nhẹ hầu_như không_bị kém_xíu nắng_nóng đổ chảy nhẹ_góc_trán ổn_hợp không_bị mãi tốt,2
245500001,tốt không_xài không_nên_xài ngứa,tốt không_xài không_nên_xài ngứa,2
343700002,thấm_nhiên dậy đổ tốt hợp_dầu chưa_thực ẩm sâu tiếp,thấm_nhiên dậy đổ tốt hợp_dầu chưa_thực ẩm sâu tiếp,2
248100018,thích cực chưa_vì không_cần_thiết thơm nhẹ,thích cực chưa_vì không_cần_thiết thơm nhẹ,2
422208238,đốm nâu căng nhẹ,đốm nâu căng nhẹ,2
204900004,ưng chưa_được,ưng chưa_được,2
100750038,cực_kỳ dịu nhẹ kích_ứng dễ_chịu hợp thường_ngày mềm hài_lòng,cực_kỳ dịu nhẹ kích_ứng dễ_chịu_hợp thường_ngày mềm hài_lòng,2
205100137,hợp_lý sạch,hợp_lý sạch,2
422206035,tốt ẩm bôi_lượng cảm yên_tâm ngủ lưu_ý rẻ không_rẻ,tốt ẩm bôi_lượng_cảm yên_tâm ngủ lưu_ý rẻ không_rẻ,2
422217029,tốt ẩm_mịn thoáng nhẹ_tênh không_hề bí,tốt ẩm_mịn thoáng nhẹ_tênh không_hề bí,2
422216098,tạm ổn,tạm ổn,2
205100136,chất_lượng hằng,chất_lượng hằng,2
422216098,nổi,nổi,1
422211447,ổn nổi_bật,ổn nổi_bật,1
358300002,làn rõ_rệt nám tàn tốt cũn,làn rõ_rệt nám tàn tốt cũn,2
308100018,kích_ứng nổi sần giảm hẳn chích đừng,kích_ứng nổi_sần giảm hẳn chích đừng,2
377400001,không_lắm dần đâm nghiện sạch tốt không_bị,không_lắm dần đâm nghiện sạch tốt không_bị,2
100240016,nổi mụn_ẩn đẩy_nhân dõi rõ_rệt,nổi mụn_ẩn đẩy_nhân_dõi rõ_rệt,2
422205673,tốt cực đáng,tốt cực đáng,2
422205122,thích kĩ,thích kĩ,2
422210784,thiên_dầu kích_ứng mềm ửng,thiên_dầu kích_ứng mềm ửng,2
308500004,tạm ổn không_như,tạm ổn không_như,0
327500002,thơm_thích,thơm_thích,2
365000012,không_như kém,không_như kém,0
422210047,ghê mụn_rửa vỗ dễ_chịu dịu mướt đều_đặn giảm rõ_rệt mê,ghê mụn_rửa vỗ dễ_chịu dịu mướt đều_đặn giảm rõ_rệt mê,2
204100023,giảm tốt,giảm tốt,2
345800003,hiện_tượng cố nma không_ổn trượt bí hiêu chẳng rõ_rệt,hiện_tượng cố nma không_ổn trượt bí_hiêu chẳng rõ_rệt,2
422211549,cảm_căng mềm hẳn,cảm_căng mềm hẳn,2
422203776,đổ không_sử_dụng,đổ không_sử_dụng,0
422206537,giảm hắc mềm mịn,giảm hắc mềm mịn,2
204900009,tốt êm,tốt êm,2
422213308,tốt nồng_độ dần trị,tốt nồng_độ dần_trị,2
201600074,mát khô_thoáng nhẹ kết_hợp chân_lông cải_thiện lỗ hài_lòng,mát khô_thoáng nhẹ kết_hợp chân_lông cải_thiện lỗ hài_lòng,2
422219399,giới_thiệu lành_tính,giới_thiệu lành_tính,2
377400001,thích bọt_bọt nhờn thích không_dính_dính,thích bọt_bọt nhờn thích không_dính_dính,2
422207736,phê đắp uống tầy dồi rẻ ưng rẻ đắp,phê_đắp uống tầy dồi rẻ ưng rẻ đắp,2
225200015,í mụt mỏng ngủ dậy môi_mềm chuẩn,í mụt mỏng ngủ dậy môi_mềm chuẩn,2
422204259,chậm đạt chấp_nhận,chậm đạt chấp_nhận,0
205100136,tốt hỗn_hợp sạch,tốt hỗn_hợp sạch,2
422210980,dịu đổi,dịu đổi,2
422212100,tốt cơ_bản phàn_nàn,tốt cơ_bản phàn_nàn,1
345800003,hạn_chế không_thực ưng_ý,hạn_chế không_thực ưng_ý,0
422207865,thất_vọng không_như nêu,thất_vọng không_như nêu,0
201600074,đẹp,đẹp,2
204100054,mát,mát,2
422220469,chân_ái,chân_ái,2
422210980,sạch tốt không_phù_hợp căng,sạch tốt không_phù_hợp căng,2
422204795,sửa tốt,sửa tốt,2
422206103,nóng dần đắp căng,nóng dần đắp căng,2
345800015,tệ không_lại,tệ không_lại,0
100220010,cực thơm giảm ổn,cực thơm giảm ổn,2
225200015,thơm căng,thơm căng,2
200400003,chắt tặng,chắt tặng,2
422205819,sạch thơm,sạch thơm,2
422204657,nhầm shop_đổi nhiệt_tình,nhầm shop_đổi nhiệt_tình,2
422208345,mát mỏng vón vón không_bị_rát thổi chảy nước_mắt khó_chịu,mát mỏng vón vón_không_bị_rát thổi chảy nước_mắt khó_chịu,1
204100003,mãi,mãi,2
422205160,đắp mát đắp cảm mịn hẳn,đắp mát_đắp cảm_mịn hẳn,2
422202253,dễ tốt thoải_mái,dễ tốt thoải_mái,2
204100070,thích xìa không_bị hiệu_quả mềm_mại,thích xìa không_bị hiệu_quả mềm_mại,2
422206537,mát lạnh ổn,mát lạnh ổn,2
245500010,đánh vòng_tiếng cảm_buồn sản_xuất,đánh vòng_tiếng cảm_buồn sản_xuất,1
308500004,tủ_lạnh mát lạnh khít ẩm_cực tốt,tủ_lạnh mát lạnh khít ẩm_cực tốt,2
422208807,sạch sâu rẻ_đáng,sạch sâu rẻ_đáng,2
249500028,dễ_thương,dễ_thương,2
243300007,tệ mỏng vụn,tệ mỏng vụn,0
204900004,bác_sĩ liễu kê khỏe bí,bác_sĩ liễu kê khỏe bí,2
204100018,thức học hoành_hành giới_thiệu biết_ơn trẻ khỏe hẳn thâm,thức học hoành_hành giới_thiệu biết_ơn trẻ khỏe hẳn thâm,2
422202569,mặt_thích mịn_màng hẳn,mặt_thích mịn_màng hẳn,2
308500009,mát giá_thành,mát giá_thành,2
422201374,rẻ tốt,rẻ tốt,2
